perm.id,Pairs,Recipient language,Donor language,number of borrowed affixes,comparative,superlative,adjectivizer: miscellaneous,adjectivizer: privative,adverbializer,clause-level TAM,clause linking,case: dative,case: ergative,case: non-locative peripheral case,case: locative,gender (human),noun class (inanimate),diminutive,augmentative,definite/indefinite,topic,focus,nominalizer: miscellaneous,nominalizer: agent,nominalizer: abstract,nominalizer: social group,nominalizer: place name,number: plural,number: dual,number: singular,nominal derivation (miscellaneous),possessor indexing,numeral classifier,numeral derivation: ordinals,numeral and quantifier derivation,valency: passive,valency: causative,valency: reflexive,valency: applicative,valency: reciprocal,verbal TAM,verbal derivation (miscellaneous),subject/object indexing,verbalizer,relativizer/subordinator,verbal negation
1,Bora affixes in Resígaro,Resígaro,Bora,50,,,,,,,,1,,,,2,38,,1,,,,,,,,,3,3,,,,,,,,,,,,,2,,,,
2,Gurindji affixes in Gurindji Kriol,Gurindji Kriol,Gurindji,18,,,,1,,,,1,1,,3,,,,,,1,2,1,1,,,,2,1,,4,,,,,,,,,,,,,,,
4,Russian affixes in Copper Island Aleut,Copper Island Aleut,Russian,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,13,,,1
5,Mongolian affixes in Sakha,Sakha,Mongolian,14,,,4,,1,,,,,,,,,,,,,,1,1,3,,,1,,,,,,,1,,,,,,1,,,1,,
6,Romanian affixes in Kalderash Romani,Kalderash Romani,Romanian,11,,,1,1,,,,,,,,,,1,,1,,,,6,,,,,,,,,,1,,,,,,,,,,,,
7,Sakha affixes in Sebjan‑Küöl Ėven,Sebjan‑Küöl Ėven,Sakha,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,21,,,
8,Uzbek affixes in Northern Tajik,Northern Tajik,Uzbek,11,1,,,,1,,,1,,2,2,,,,,,,,,1,1,,,,,,,,,,2,,,,,,,,,,,
10,Sanskrit affixes in Indonesian,Indonesian,Sanskrit,18,,,,1,,,,,,,,,,,,,,,,2,,,,,,,15,,,,,,,,,,,,,,,
11,Sakha affixes in Uchur Ėvenki,Uchur Ėvenki,Sakha,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,1,,6,,,
12,Norman French affixes in Middle English,Middle English,Norman French,8,,,1,,,,,,,,,,,,,,,,3,,4,,,,,,,,,,,,,,,,,,,,,
13,Visayan affixes in Chabacano,Chabacano,Visayan,8,,,3,,,,,,,,,,,,,,,,1,,,,,,,,,,,1,,,,,,1,,,,2,,
14,Tigre affixes in Bilin,Bilin,Tigre,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,,,
15,Bosnian/Croatian/Serbian affixes in Albanian,Albanian,Bosnian/Croatian/Serbian,14,,,4,,,,,,,,,,,,,,,,6,1,,,2,,,,,,,,,,,,,,,,,1,,
16,Spanish affixes in Cajamarca Quechua,Cajamarca Quechua,Spanish,7,,,3,,,,,,,,,,,1,,,,,1,2,,,,,,,,,,,,,,,,,,,,,,
17,Aymara affixes in Uru,Uru,Aymara,6,,,,,,2,,,,2,1,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,
18,Russian affixes in Israeli Hebrew,Israeli Hebrew,Russian,6,,,,,,,,,,,,,,1,,,,,,3,2,,,,,,,,,,,,,,,,,,,,,
19,Dutch affixes in Indonesian,Indonesian,Dutch,11,,,2,1,,,,,,,,,,,,,,,,,3,,,,,,5,,,,,,,,,,,,,,,
20,Turkish affixes in Cappadocian Greek,Cappadocian Greek,Turkish,5,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,1,,,,,,2,1,,
21,Greek affixes in Cypriot Arabic,Cypriot Arabic,Greek,5,,,,,,,,,,,,2,,1,,,,,,,,,,2,,,,,,,,,,,,,,,,,,
22,Libyan Arabic affixes in Siwi,Siwi,Libyan Arabic,5,1,1,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,1,,,,,
23,Nunggubuyu affixes in Warndarang,Warndarang,Nunggubuyu,5,,,,,,,,,,2,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,Turkish affixes in Albanian,Albanian,Turkish,6,,,1,,,,,,,,,,,,,,,,,2,1,1,,1,,,,,,,,,,,,,,,,,,
26,Carib affixes in Garifuna,Garifuna,Carib,2,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,,,,,,,,,,,,,
27,Chuvash affixes in Mari,Mari,Chuvash,12,1,,1,,,,,,,4,,,,,,1,,,,,1,,,,,,,,,1,,,1,1,,,1,,,,,
28,Nepali affixes in Chantyal,Chantyal,Nepali,6,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,
29,Ngandi affixes in Ritharngu,Ritharngu,Ngandi,4,,,,,,,,,,1,,,,,,,,,,,,,,,1,,1,,,,,,,,,,,,,,,1
31,Ilokano affixes in Guina‑ang Bontok,Guina‑ang Bontok ,Ilokano,3,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,2,,,,,
33,Kurdish affixes in Sonqor Turkic,Sonqor Turkic,Kurdish,5,1,,,,,1,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,2,,,
34,Ritharngu affixes in Ngandi,Ngandi,Ritharngu,2,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,Croatian affixes in Istro‑Romanian,Istro‑Romanian,Croatian,9,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,7,,,,,
39,Quapaw affixes in Koasati,Koasati,Quapaw,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,
40,Aramaic affixes in Hasankeyf Arabic,Hasankeyf Arabic,Aramaic,2,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,1,,,,,
41,Tamil affixes in Sri Lanka Portuguese,Sri Lanka Portuguese,Tamil,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,
42,Northern Nyungic affixes in Kayardild,Kayardild,Northern Nyungic,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,Arabic affixes in Indonesian,Indonesian,Arabic,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,Sicilian affixes in Maltese,Maltese,Sicilian,8,,,1,,,,,,,,,,,,1,,,,,1,1,1,,,,3,,,,,,,,,,,,,,,,
68,Sadri affixes in Kharia,Kharia,Sadri,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,
70,Estonian affixes in Ingrian Finnish,Ingrian Finnish,Estonian,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,
72,Swahili affixes in Malagasy,Malagasy,Swahili,2,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,1,,,,,
73,Banjar Malay affixes in Malagasy,Malagasy,Banjar Malay,4,,,,,,,,,,,,,,,,,,,1,,,1,,,,,,,,,,1,,,,,1,,,,,
75,intermediate Proto‑Carib affixes in Wayampi‑Emerillon‑Zo’é ,Wayampi‑Emerillon‑Zo’é ,intermediate Proto‑Carib,1,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,
77,English affixes in Hawaiian,Hawaiian,English,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,
78,Russian affixes in Kola Saami,Kola Saami,Russian,5,,,,,,,,,,,,,,,,1,2,,,1,,,,,,,,,,,,,,,,,1,,,,,
82,Turkish affixes in Kurmanji,Kurmanji,Turkish,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
83,Nepali affixes in Manange,Manange,Nepali,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,
85,Russian affixes in Yiddish,Yiddish,Russian,13,,,2,1,,,,,,,,3,,3,,,,,,2,,,1,,,,,,,,,,,,,,,,,1,,
87,Bulgarian affixes in Megleno-Romanian,Megleno-Romanian,Bulgarian,34,,,2,1,,,,,,,,,,11,,,,,1,,4,2,2,,,,,,,,,,,,,,9,,2,,,
88,Greek affixes in Arvanitic Albanian,Arvanitic Albanian,Greek,32,,,,,,,,,,,,,,4,,,,,,1,,1,,,,,13,,,,,,,,,,,9,,4,,
92,Russian affixes in Lithuanian Romani,Lithuanian Romani,Russian,6,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,
93,Spanish affixes in Sierra Popoluca,Sierra Popoluca,Spanish,1,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,
94,Makrān Baluchi affixes in Brahui,Brahui,Makrān Baluchi,3,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,
95,Malay affixes in Semelai,Semelai,Malay,8,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,1,1,,1,,4,,,,,
96,Indonesian affixes in Tukang Besi,Tukang Besi,Indonesian,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,
98,Persian affixes in Lezgian,Lezgian,Persian,3,,,,,,,,,,,,,,,,,,,1,2,,,,,,,,,,,,,,,,,,,,,,
100,Chukchi affixes in Central Siberian Yupik Eskimo,Central Siberian Yupik Eskimo,Chukchi,3,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101,Karrwa affixes in Kayardild,Kayardild,Karrwa,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,
102,Hindi affixes in Kurux,Kurux,Hindi,8,,,4,,,,,,,,,1,,,,,,,,,,,,,,,,,,,2,1,,,,,,,,,,
107,Persian affixes in Turkish,Turkish,Persian,7,,,1,,,,,,,,,,,,,,,,1,3,,,1,,,,1,,,,,,,,,,,,,,,
108,Persian affixes in Azari,Azari,Persian,10,,,3,,,,,,,,,,,1,,,,,,4,,,1,,,,1,,,,,,,,,,,,,,,
109,Persian affixes in Kashmiri,Kashmiri,Persian,13,,,4,1,,,,,,,,,,,,,,,,2,2,,,,,,4,,,,,,,,,,,,,,,
110,Komi‑Zyrian affixes in Khanty,Khanty,Komi‑Zyrian,15,1,1,4,1,,,,,,,,,,1,,,,,,,,,,,,,1,,,,,,1,3,,,,1,,1,,
111,Swedish affixes in Finnish,Finnish,Swedish,3,,,,,,,,,,,,2,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,
112,"Yucuna and Cabiyarí affixes in Carapana, Tatuyo, Wáimaja, and Yurutí","Carapana, Tatuyo, Wáimaja, and Yurutí",Yucuna and Cabiyarí,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,
113,Latin affixes in Basque,Basque,Latin,36,,,2,1,,,,,,,,1,,2,2,,,,,4,17,2,,,,,4,,,,,,,,,,,1,,,,
114,Moroccan Berber affixes in Moroccan Arabic,Moroccan Arabic,Moroccan Berber languages,1,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,
116,Tibetan affixes in Wutun,Wutun,Tibetan,7,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,1,,2,,,,2,
117,Aymara affixes in Quechua de Puno,Quechua de Puno,Aymara,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,1,,,,
118,Santa affixes in Chinese of Línxìa/Hézōu,Chinese of Línxìa/Hézōu,Santa,1,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
119,Turkish affixes in Judeo‑Spanish,Judeo‑Spanish,Turkish,6,,,,1,,,,,,,,,,1,,,,,1,,,,1,,,,2,,,,,,,,,,,,,,,
124,Russian affixes in Karelian,Karelian,Russian,6,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,
125,Eastern Tucanoan affixes in Tariana,Tariana,Eastern Tucanoan languages,3,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,
126,Greek affixes in Kalderash Romani,Kalderash Romani,Greek,5,,,1,,,,,,,,,,,1,,,,,,,2,,,,,,,,,1,,,,,,,,,,,,
127,Spanish affixes in Cho’ol,Cho’ol,Spanish,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,
128,Zoquean affixes in Cho’ol,Cho’ol,Zoquean languages,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
130,Arabic affixes in Western Neo‑Aramaic of Ma’lūla,Western Neo‑Aramaic of Ma’lūla,Arabic,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
132,Tibeto-Burman affixes in Assamese,Assamese,Tibeto-Burman languages,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,,,,,,,,,,,,,
133,Portuguese affixes in Tetun Dili,Tetun Dili,Portuguese,1,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,
134,Spanish affixes in Purepecha/Tarascan,Purepecha/Tarascan,Spanish,1,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
135,Spanish affixes in Mexicanero de la Sierra Madre Occidental,Mexicanero de la Sierra Madre Occidental,Spanish,1,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
136,Spanish affixes in Yucatec Maya,Yucatec Maya,Spanish,1,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
138,Turkish affixes in Iraqi Arabic,Iraqi Arabic,Turkish,4,,,,1,,,,,,,,,,,,,,,,1,1,1,,,,,,,,,,,,,,,,,,,,
139,Quapaw affixes in Alabama and Choctaw‑Chickasaw,Alabama and Choctaw‑Chickasaw,Quapaw,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,
140,Hindi affixes in Kharia,Kharia,Hindi,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
142,Latvian affixes in German,German,Latvian,1,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,
143,Quechua affixes in Amuesha,Amuesha,Quechua,3,,,,,,2,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
144,Tajik affixes in Moghol,Moghol,Tajik,7,1,1,,,,,,,,,1,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,
145,Chinese affixes in Dagur,Dagur,Chinese,1,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,
146,Croatian affixes in Hungarian,Hungarian,Croatian,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147,Evenki affixes in Dagur,Dagur,Evenki,3,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,
148,Chinese affixes in Santa,Santa,Chinese,7,,,,,,,,,,,,,,,,,,,1,4,,,,1,,,,,,,,1,,,,,,,,,,
149,Turkic affixes in Middle Mongolic,Middle Mongolic,Turkic,6,,,,,,,,,,3,,,,,,,,,,1,,,,1,,,,,,,,,,,,,,,,1,,
150,Lingala affixes in Ndunga-le,Ndunga-le,Lingala,4,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
151,Cushitic affixes in Ilwana,Ilwana,Cushitic,4,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,
152,North Swahili affixes in South Swahili,South Swahili,North Swahili,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,
153,Spanish affixes in Nahuatl,Nahuatl,Spanish,3,,,,,,,,,,,,,,1,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,
154,Middle Low German affixes in Russian,Russian,Middle Low German,1,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,
155,French affixes in Russian,Russian,French,3,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,
156,Belarusian affixes in Lithuanian,Lithuanian,Belarusian,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,1,,
157,Central Asian Turkic affixes in Russian,Russian,Central Asian Turkic ,1,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,
158,Molisano Neapolitan affixes in Slavomolisano,Slavomolisano,Molisano Neapolitan,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
159,Lombardic affixes in Tuscan Italian,Tuscan Italian,Lombardic,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
160,Italian affixes in Arbëreshë Albanian,Arbëreshë Albanian,Italian,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
161,Chamacoco affixes in Kadiwéu,Kadiwéu,Chamacoco,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,
162,Nivaclé affixes in Zamucoan,Zamucoan,Nivaclé,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,
163,Russian affixes in Estonian,Estonian,Russian,9,,1,3,,,1,,,,,,,,1,,,,,,2,,,1,,,,,,,,,,,,,,,,,,,
164,Kurdish affixes in Chaldean Neo-Aramaic,Chaldean Neo-Aramaic,Kurdish,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,
165,Kurdish affixes in Suleimaniya Jewish Neo-Aramaic,Suleimaniya Jewish Neo-Aramaic,Kurdish,3,,,,,,,,,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,1,,,,,
166,German affixes in Estonian,Estonian,German,3,,,1,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,
167,Azeri affixes in Udi,Udi,Azeri,6,,,,1,,,1,,,,,,,,,,,,,1,1,1,,,,,,,,1,,,,,,,,,,,,
168,Upper Chinook affixes in Bella Coola,Bella Coola,Upper Chinook,1,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,
169,Hebrew affixes in Yiddish,Yiddish,Hebrew,2,,,,,1,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,
170,English affixes in Welsh,Welsh,English,1,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,
171,Tasawaq affixes in Tamajeq Tuareg,Tamajeq Tuareg,Tasawaq,2,,,1,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,
172,German affixes in Polish,Polish,German,1,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,
173,English affixes in Spanish,Spanish,English,1,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,
174,Spanish affixes in Tagalog,Tagalog,Spanish,8,,,3,,,,,,,,,,,2,,,,,1,2,,,,,,,,,,,,,,,,,,,,,,
175,Middle Low German affixes in Danish,Danish,Middle Low German,12,,,5,,,,,,,,,,,,,,,,1,1,3,,,,,,,,,,,,,,,,,1,,1,,
176,Coos affixes in Alsea,Alsea,Coos,1,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
177,English affixes in Mandarin,Mandarin,English,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,
178,English affixes in Tagalog,Tagalog,English,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
179,French affixes in Turkish,Turkish,French,2,,,,,,,,,,,,,,,,,,,,,1,,,,,,1,,,,,,,,,,,,,,,
180,Middle Chinese affixes in Vietnamese,Vietnamese,Middle Chinese,15,,,6,,,,,,,,,,,,,,,,5,1,1,,,,,,,,,1,,,,,,,,,,1,,
181,Middle Chinese affixes in Japanese,Japanese,Middle Chinese,3,,,,1,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,1,,,,
182,English affixes in Japanese,Japanese,English,3,,,1,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,
183,Ancient Greek affixes in Latin,Latin,Ancient Greek,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
184,Sahaptin affixes in Upper Chinook,Upper Chinook,Sahaptin,6,,,1,,,,,,,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
185,Nepali affixes in Baram,Baram,Nepali,5,,,,,,1,,,,,,,,,,,,,,,,,,1,,,,1,2,,,,,,,,,,,,,
186,English affixes in German,German,English,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
187,Gurma affixes in Songhay,Songhay,Gurma,1,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,
188,German affixes in English,English,German,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,
189,German affixes in Hungarian,Hungarian,German,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,
190,Spanish affixes in Caquinte,Caquinte,Spanish,2,,,,,,,,,,,,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,754,8,6,71,13,4,11,3,4,3,23,10,11,47,36,5,11,3,3,33,64,52,11,9,32,5,3,58,4,18,9,6,5,4,4,2,1,54,23,57,16,10,2
